,시군구,환경지표_score,환경지표_cluster,환경지표_학교폭력위험도
0,강남구,19.071216500868555,3,매우낮음
1,강동구,55.14826653218568,2,보통
2,강북구,105.36993886865436,1,매우높음
3,강서구,77.83118571908382,1,매우높음
4,관악구,77.86743315829996,4,높음
5,광진구,60.19373183370286,2,보통
6,구로구,70.97225945894482,4,높음
7,금천구,90.22911414798968,1,매우높음
8,노원구,73.82736650264715,2,보통
9,도봉구,89.94662719895763,1,매우높음
10,동대문구,58.57481779644922,2,보통
11,동작구,41.2546940816567,2,보통
12,마포구,36.21928010941029,3,매우낮음
13,서대문구,46.19379882574886,2,보통
14,서초구,20.295261744023893,3,매우낮음
15,성동구,38.34684585486745,3,매우낮음
16,성북구,50.47278696655239,2,보통
17,송파구,48.71522932797662,3,매우낮음
18,양천구,65.10383413720601,2,보통
19,영등포구,25.401158874725976,3,매우낮음
20,용산구,38.59397973907843,3,매우낮음
21,은평구,74.88196584935213,2,보통
22,종로구,32.34150469437501,0,낮음
23,중구,35.48083657280671,0,낮음
24,중랑구,98.7011022964834,1,매우높음
